0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
6,8
8,6
8,9
9,8
9,3
3,9
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
4,6
6,4
4,7
7,4
7,8
8,7
8,9
9,8
8,10
10,8
8,11
11,8
11,12
12,11
12,13
13,12
12,14
14,12
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
4,7
7,4
7,8
8,7
7,9
9,7
6,1
1,6
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
4,7
7,4
7,8
8,7
7,9
9,7
6,1
1,6
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
5,8
8,5
8,9
9,8
8,10
10,8
7,2
2,7
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
10,3
3,10
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
10,3
3,10
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
10,3
3,10
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
5,8
8,5
8,9
9,8
8,10
10,8
7,2
2,7
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
9,11
11,9
8,3
3,8
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
9,11
11,9
8,3
3,8
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
9,11
11,9
8,3
3,8
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
9,11
11,9
8,3
3,8
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
9,11
11,9
8,3
3,8
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
7,10
10,7
10,11
11,10
1,2
2,1
2,3
3,2
2,4
4,2
5,6
6,5
6,7
7,6
6,8
8,6
0,1
1,0
1,2
2,1
1,3
3,1
0,1
1,0
1,2
2,1
1,3
3,1
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
9,11
11,9
8,3
3,8
0,1
1,0
1,2
2,1
1,3
3,1
0,1
1,0
1,2
2,1
1,3
3,1
0,1
1,0
1,2
2,1
1,3
3,1
1,4
4,1
0,1
1,0
1,2
2,1
1,3
3,1
0,1
1,0
1,2
2,1
1,3
3,1
1,4
4,1
1,5
5,1
8,9
9,8
9,10
10,9
9,11
11,9
9,12
12,9
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
9,11
11,9
8,3
3,8
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
11,10
11,12
12,11
12,13
13,12
13,14
14,13
14,15
15,14
14,16
16,14
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
6,9
9,6
9,10
10,9
9,11
11,9
8,3
3,8
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
11,10
11,12
12,11
12,13
13,12
13,14
14,13
14,15
15,14
15,16
16,15
15,17
17,15
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
7,9
9,7
9,10
10,9
9,11
11,9
11,12
12,11
0,1
1,0
2,3
3,2
3,4
4,3
3,5
5,3
3,6
6,3
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
2,5
5,2
5,6
6,5
6,7
7,6
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
2,5
5,2
5,6
6,5
6,7
7,6
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
2,3
3,2
4,5
5,4
5,6
6,5
5,7
7,5
5,8
8,5
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
2,3
3,2
3,4
4,3
3,5
5,3
3,6
6,3
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
11,10
11,12
12,11
10,13
13,10
13,14
14,13
14,15
15,14
15,16
16,15
16,17
17,16
17,18
18,17
18,19
19,18
19,20
20,19
19,21
21,19
19,22
22,19
17,23
23,17
23,24
24,23
13,25
25,13
25,26
26,25
26,27
27,26
27,28
28,27
28,29
29,28
29,30
30,29
12,7
7,12
24,14
14,24
30,25
25,30
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
5,8
8,5
8,9
9,8
9,10
10,9
0,1
1,0
1,2
2,1
1,3
3,1
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
1,2
2,1
2,3
3,2
3,4
4,3
3,5
5,3
5,6
6,5
3,7
7,3
7,8
8,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
11,10
11,12
12,11
12,13
13,12
9,14
14,9
14,15
15,14
15,16
16,15
16,17
17,16
17,18
18,17
18,19
19,18
19,20
20,19
5,21
21,5
21,1
1,21
14,4
4,14
20,15
15,20
13,8
8,13
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
5,7
7,5
7,8
8,7
8,9
9,8
8,10
10,8
10,3
3,10
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
5,0
0,5
7,2
2,7
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
3,6
6,3
6,7
7,6
7,8
8,7
8,1
1,8
1,2
2,1
2,3
3,2
2,4
4,2
2,5
5,2
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
11,10
11,6
6,11
0,1
1,0
1,2
2,1
1,3
3,1
1,4
4,1
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,5
5,10
1,2
2,1
2,3
3,2
2,4
4,2
2,5
5,2
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
11,10
11,12
12,11
10,5
5,10
0,1
1,0
